Group,ShortChar01,Cust. ID,Customer,Name,Address,Address2,Address3,City,State/Province,Postal Code,Country,EDICode,Est. Date,Ship To
DLR,,CID0043,85,Customer Name 43,Street Address 43,Line2,Line3,The City,STATE,10471,USA,,6/8/1990,
DLR,,CID0044,86,Customer Name 44,Street Address 44,Line2,Line3,The City,STATE,10471,USA,,6/9/1990,
DLR,,CID0045,88,Customer Name 45,Street Address 45,Line2,Line3,The City,STATE,10471,USA,,6/10/1990,
DLR,,CID0046,90,Customer Name 46,Street Address 46,Line2,Line3,The City,STATE,10471,USA,,6/11/1990,
OEM,,CID0047,92,Customer Name 47,Street Address 47,Line2,Line3,The City,STATE,10471,USA,,6/12/1990,
DLR,,CID0048,93,Customer Name 48,Street Address 48,Line2,Line3,The City,STATE,10471,USA,,6/13/1990,
DLR,,CID0049,95,Customer Name 49,Street Address 49,Line2,Line3,The City,STATE,10471,USA,,6/14/1990,
DLR,,CID0050,96,Customer Name 50,Street Address 50,Line2,Line3,The City,STATE,10471,USA,,6/15/1990,
DLR,,CID0051,101,Customer Name 51,Street Address 51,Line2,Line3,The City,STATE,10471,USA,,6/16/1990,
DLR,,CID0052,103,Customer Name 52,Street Address 52,Line2,Line3,The City,STATE,10471,USA,,6/17/1990,
DLR,,CID0053,104,Customer Name 53,Street Address 53,Line2,Line3,The City,STATE,10471,USA,,6/18/1990,
DLR,,CID0054,106,Customer Name 54,Street Address 54,Line2,Line3,The City,STATE,10471,USA,,6/19/1990,
DLR,,CID0055,108,Customer Name 55,Street Address 55,Line2,Line3,The City,STATE,10471,CANADA,,6/20/1990,
DLR,,CID0056,109,Customer Name 56,Street Address 56,Line2,Line3,The City,STATE,10471,USA,,6/21/1990,
DLR,,CID0057,110,Customer Name 57,Street Address 57,Line2,Line3,The City,STATE,10471,USA,,6/22/1990,
DLR,,CID0058,111,Customer Name 58,Street Address 58,Line2,Line3,The City,STATE,10471,USA,,6/23/1990,
DLR,,CID0059,112,Customer Name 59,Street Address 59,Line2,Line3,The City,STATE,10471,USA,,6/24/1990,
DLR,,CID0060,113,Customer Name 60,Street Address 60,Line2,Line3,The City,STATE,10471,USA,,6/25/1990,
IND,,CID0061,115,Customer Name 61,Street Address 61,Line2,Line3,The City,STATE,10471,USA,,6/26/1990,
DLR,,CID0062,117,Customer Name 62,Street Address 62,Line2,Line3,The City,STATE,10471,USA,,6/27/1990,
DLR,,CID0063,119,Customer Name 63,Street Address 63,Line2,Line3,The City,STATE,10471,USA,,6/28/1990,
DLR,,CID0064,121,Customer Name 64,Street Address 64,Line2,Line3,The City,STATE,10471,USA,,6/29/1990,
DLR,,CID0065,123,Customer Name 65,Street Address 65,Line2,Line3,The City,STATE,10471,USA,,6/30/1990,
DLR,,CID0066,124,Customer Name 66,Street Address 66,Line2,Line3,The City,STATE,10471,USA,,7/1/1990,
DLR,,CID0067,125,Customer Name 67,Street Address 67,Line2,Line3,The City,STATE,10471,USA,,7/2/1990,
DLR,,CID0068,127,Customer Name 68,Street Address 68,Line2,Line3,The City,STATE,10471,USA,,7/3/1990,
DLR,,CID0069,128,Customer Name 69,Street Address 69,Line2,Line3,The City,STATE,10471,USA,,7/4/1990,
OEM,,CID0070,129,Customer Name 70,Street Address 70,Line2,Line3,The City,STATE,10471,CANADA,,7/5/1990,
DLR,,CID0071,130,Customer Name 71,Street Address 71,Line2,Line3,The City,STATE,10471,CANADA,,7/6/1990,
DLR,,CID0072,131,Customer Name 72,Street Address 72,Line2,Line3,The City,STATE,10471,USA,,7/7/1990,
DLR,,CID0073,133,Customer Name 73,Street Address 73,Line2,Line3,The City,STATE,10471,USA,,7/8/1990,
DLR,,CID0074,134,Customer Name 74,Street Address 74,Line2,Line3,The City,STATE,10471,USA,,7/9/1990,
DLR,,CID0075,135,Customer Name 75,Street Address 75,Line2,Line3,The City,STATE,10471,USA,,7/10/1990,
DLR,,CID0076,136,Customer Name 76,Street Address 76,Line2,Line3,The City,STATE,10471,USA,,7/11/1990,
DLR,,CID0077,138,Customer Name 77,Street Address 77,Line2,Line3,The City,STATE,10471,USA,,7/12/1990,
DLR,,CID0078,139,Customer Name 78,Street Address 78,Line2,Line3,The City,STATE,10471,USA,,7/13/1990,
DLR,,CID0079,140,Customer Name 79,Street Address 79,Line2,Line3,The City,STATE,10471,USA,,7/14/1990,
DLR,,CID0080,141,Customer Name 80,Street Address 80,Line2,Line3,The City,STATE,10471,USA,,7/15/1990,
DLR,,CID0081,143,Customer Name 81,Street Address 81,Line2,Line3,The City,STATE,10471,USA,,7/16/1990,
DLR,,CID0082,146,Customer Name 82,Street Address 82,Line2,Line3,The City,STATE,10471,USA,,7/17/1990,
DLR,,CID0083,147,Customer Name 83,Street Address 83,Line2,Line3,The City,STATE,10471,USA,,7/18/1990,
DLR,,CID0084,149,Customer Name 84,Street Address 84,Line2,Line3,The City,STATE,10471,USA,,7/19/1990,
DLR,,CID0085,151,Customer Name 85,Street Address 85,Line2,Line3,The City,STATE,10471,USA,,7/20/1990,
DLR,,CID0086,159,Customer Name 86,Street Address 86,Line2,Line3,The City,STATE,10471,USA,,7/21/1990,
OEM,,CID0087,160,Customer Name 87,Street Address 87,Line2,Line3,The City,STATE,10471,USA,,7/22/1990,
OEM,,CID0088,161,Customer Name 88,Street Address 88,Line2,Line3,The City,STATE,10471,USA,,7/23/1990,
OEM,,CID0089,162,Customer Name 89,Street Address 89,Line2,Line3,The City,STATE,10471,USA,,7/24/1990,
DLR,,CID0090,164,Customer Name 90,Street Address 90,Line2,Line3,The City,STATE,10471,USA,,7/25/1990,
OEM,,CID0091,165,Customer Name 91,Street Address 91,Line2,Line3,The City,STATE,10471,USA,,7/26/1990,
DLR,,CID0092,169,Customer Name 92,Street Address 92,Line2,Line3,The City,STATE,10471,USA,,7/27/1990,
DLR,,CID0093,170,Customer Name 93,Street Address 93,Line2,Line3,The City,STATE,10471,USA,,7/28/1990,
OEM,,CID0094,173,Customer Name 94,Street Address 94,Line2,Line3,The City,STATE,10471,USA,,7/29/1990,
DLR,,CID0095,178,Customer Name 95,Street Address 95,Line2,Line3,The City,STATE,10471,USA,,7/30/1990,
DLR,,CID0096,179,Customer Name 96,Street Address 96,Line2,Line3,The City,STATE,10471,USA,,7/31/1990,
DLR,,CID0097,185,Customer Name 97,Street Address 97,Line2,Line3,The City,STATE,10471,USA,,8/1/1990,
DLR,,CID0098,189,Customer Name 98,Street Address 98,Line2,Line3,The City,STATE,10471,USA,,8/2/1990,
OEM,,CID0099,191,Customer Name 99,Street Address 99,Line2,Line3,The City,STATE,10471,USA,,8/3/1990,
DLR,,CID0100,192,Customer Name 100,Street Address 100,Line2,Line3,The City,STATE,10471,CANADA,,8/4/1990,
IND,,CID0101,193,Customer Name 101,Street Address 101,Line2,Line3,The City,STATE,10471,USA,,8/5/1990,
DLR,,CID0102,194,Customer Name 102,Street Address 102,Line2,Line3,The City,STATE,10471,USA,,8/6/1990,
OEM,,CID0103,196,Customer Name 103,Street Address 103,Line2,Line3,The City,STATE,10471,USA,,8/7/1990,
DLR,,CID0104,197,Customer Name 104,Street Address 104,Line2,Line3,The City,STATE,10471,USA,,8/8/1990,
DLR,,CID0105,198,Customer Name 105,Street Address 105,Line2,Line3,The City,STATE,10471,USA,,8/9/1990,
DLR,,CID0106,199,Customer Name 106,Street Address 106,Line2,Line3,The City,STATE,10471,USA,,8/10/1990,
DLR,,CID0107,200,Customer Name 107,Street Address 107,Line2,Line3,The City,STATE,10471,USA,,8/11/1990,
OEM,,CID0108,202,Customer Name 108,Street Address 108,Line2,Line3,The City,STATE,10471,USA,,8/12/1990,
DLR,,CID0109,203,Customer Name 109,Street Address 109,Line2,Line3,The City,STATE,10471,USA,,8/13/1990,
DLR,,CID0110,204,Customer Name 110,Street Address 110,Line2,Line3,The City,STATE,10471,USA,,8/14/1990,
DLR,,CID0111,205,Customer Name 111,Street Address 111,Line2,Line3,The City,STATE,10471,USA,,8/15/1990,
DLR,,CID0112,206,Customer Name 112,Street Address 112,Line2,Line3,The City,STATE,10471,USA,,8/16/1990,
DLR,,CID0113,207,Customer Name 113,Street Address 113,Line2,Line3,The City,STATE,10471,USA,,8/17/1990,
DLR,,CID0114,208,Customer Name 114,Street Address 114,Line2,Line3,The City,STATE,10471,USA,,8/18/1990,
DLR,,CID0115,209,Customer Name 115,Street Address 115,Line2,Line3,The City,STATE,10471,USA,,8/19/1990,
DLR,,CID0116,211,Customer Name 116,Street Address 116,Line2,Line3,The City,STATE,10471,USA,,8/20/1990,
DLR,,CID0117,212,Customer Name 117,Street Address 117,Line2,Line3,The City,STATE,10471,USA,,8/21/1990,
OEM,,CID0118,213,Customer Name 118,Street Address 118,Line2,Line3,The City,STATE,10471,USA,,8/22/1990,
DLR,,CID0119,214,Customer Name 119,Street Address 119,Line2,Line3,The City,STATE,10471,USA,,8/23/1990,
DLR,,CID0120,215,Customer Name 120,Street Address 120,Line2,Line3,The City,STATE,10471,USA,,8/24/1990,
DLR,,CID0121,216,Customer Name 121,Street Address 121,Line2,Line3,The City,STATE,10471,USA,,8/25/1990,
DLR,,CID0122,217,Customer Name 122,Street Address 122,Line2,Line3,The City,STATE,10471,USA,,8/26/1990,
DLR,,CID0123,218,Customer Name 123,Street Address 123,Line2,Line3,The City,STATE,10471,USA,,8/27/1990,
DLR,,CID0124,220,Customer Name 124,Street Address 124,Line2,Line3,The City,STATE,10471,USA,,8/28/1990,
DLR,,CID0125,223,Customer Name 125,Street Address 125,Line2,Line3,The City,STATE,10471,USA,,8/29/1990,
DLR,,CID0126,225,Customer Name 126,Street Address 126,Line2,Line3,The City,STATE,10471,CANADA,,8/30/1990,
DLR,,CID0127,226,Customer Name 127,Street Address 127,Line2,Line3,The City,STATE,10471,USA,,8/31/1990,
DLR,,CID0128,227,Customer Name 128,Street Address 128,Line2,Line3,The City,STATE,10471,USA,,9/1/1990,
OEM,,CID0129,228,Customer Name 129,Street Address 129,Line2,Line3,The City,STATE,10471,USA,,9/2/1990,
OEM,,CID0130,229,Customer Name 130,Street Address 130,Line2,Line3,The City,STATE,10471,USA,,9/3/1990,
OEM,,CID0131,230,Customer Name 131,Street Address 131,Line2,Line3,The City,STATE,10471,USA,,9/4/1990,
DLR,,CID0132,231,Customer Name 132,Street Address 132,Line2,Line3,The City,STATE,10471,USA,,9/5/1990,
OEM,,CID0133,232,Customer Name 133,Street Address 133,Line2,Line3,The City,STATE,10471,USA,,9/6/1990,
OEM,,CID0134,234,Customer Name 134,Street Address 134,Line2,Line3,The City,STATE,10471,USA,,9/7/1990,
OEM,,CID0135,235,Customer Name 135,Street Address 135,Line2,Line3,The City,STATE,10471,USA,,9/8/1990,
DLR,,CID0136,237,Customer Name 136,Street Address 136,Line2,Line3,The City,STATE,10471,USA,,9/9/1990,
DLR,,CID0137,238,Customer Name 137,Street Address 137,Line2,Line3,The City,STATE,10471,CANADA,,9/10/1990,
OEM,,CID0138,239,Customer Name 138,Street Address 138,Line2,Line3,The City,STATE,10471,CANADA,,9/11/1990,
DLR,,CID0139,241,Customer Name 139,Street Address 139,Line2,Line3,The City,STATE,10471,CANADA,,9/12/1990,
OEM,,CID0140,242,Customer Name 140,Street Address 140,Line2,Line3,The City,STATE,10471,USA,,9/13/1990,
DLR,,CID0141,244,Customer Name 141,Street Address 141,Line2,Line3,The City,STATE,10471,CANADA,,9/14/1990,
DLR,,CID0142,245,Customer Name 142,Street Address 142,Line2,Line3,The City,STATE,10471,USA,,9/15/1990,
DLR,,CID0143,247,Customer Name 143,Street Address 143,Line2,Line3,The City,STATE,10471,CANADA,,9/16/1990,
OEM,,CID0144,249,Customer Name 144,Street Address 144,Line2,Line3,The City,STATE,10471,USA,,9/17/1990,
DLR,,CID0145,250,Customer Name 145,Street Address 145,Line2,Line3,The City,STATE,10471,USA,,9/18/1990,
DLR,,CID0146,251,Customer Name 146,Street Address 146,Line2,Line3,The City,STATE,10471,USA,,9/19/1990,
DLR,,CID0147,253,Customer Name 147,Street Address 147,Line2,Line3,The City,STATE,10471,USA,,9/20/1990,
DLR,,CID0148,255,Customer Name 148,Street Address 148,Line2,Line3,The City,STATE,10471,USA,,9/21/1990,
DLR,,CID0149,256,Customer Name 149,Street Address 149,Line2,Line3,The City,STATE,10471,USA,,9/22/1990,
DLR,,CID0150,257,Customer Name 150,Street Address 150,Line2,Line3,The City,STATE,10471,USA,,9/23/1990,
DLR,,CID0151,259,Customer Name 151,Street Address 151,Line2,Line3,The City,STATE,10471,USA,,9/24/1990,
DLR,,CID0152,260,Customer Name 152,Street Address 152,Line2,Line3,The City,STATE,10471,USA,,9/25/1990,
DLR,,CID0153,261,Customer Name 153,Street Address 153,Line2,Line3,The City,STATE,10471,USA,,9/26/1990,
AOC,,CID0154,262,Customer Name 154,Street Address 154,Line2,Line3,The City,STATE,10471,USA,,9/27/1990,
AOC,,CID0155,263,Customer Name 155,Street Address 155,Line2,Line3,The City,STATE,10471,USA,,9/28/1990,
OEM,,CID0156,264,Customer Name 156,Street Address 156,Line2,Line3,The City,STATE,10471,USA,,9/29/1990,
AOC,,CID0157,265,Customer Name 157,Street Address 157,Line2,Line3,The City,STATE,10471,USA,,9/30/1990,
AOC,,CID0158,266,Customer Name 158,Street Address 158,Line2,Line3,The City,STATE,10471,USA,,10/1/1990,
AOC,,CID0159,267,Customer Name 159,Street Address 159,Line2,Line3,The City,STATE,10471,USA,,10/2/1990,
AOC,,CID0160,268,Customer Name 160,Street Address 160,Line2,Line3,The City,STATE,10471,USA,,10/3/1990,
AOC,,CID0161,269,Customer Name 161,Street Address 161,Line2,Line3,The City,STATE,10471,USA,,10/4/1990,
AOC,,CID0162,270,Customer Name 162,Street Address 162,Line2,Line3,The City,STATE,10471,USA,,10/5/1990,
AOC,,CID0163,271,Customer Name 163,Street Address 163,Line2,Line3,The City,STATE,10471,USA,,10/6/1990,
AOC,,CID0164,272,Customer Name 164,Street Address 164,Line2,Line3,The City,STATE,10471,USA,,10/7/1990,
AOC,,CID0165,273,Customer Name 165,Street Address 165,Line2,Line3,The City,STATE,10471,USA,,10/8/1990,
AOC,,CID0166,274,Customer Name 166,Street Address 166,Line2,Line3,The City,STATE,10471,USA,,10/9/1990,
AOC,,CID0167,275,Customer Name 167,Street Address 167,Line2,Line3,The City,STATE,10471,CANADA,,10/10/1990,
AOC,,CID0168,276,Customer Name 168,Street Address 168,Line2,Line3,The City,STATE,10471,USA,,10/11/1990,
AOC,,CID0169,277,Customer Name 169,Street Address 169,Line2,Line3,The City,STATE,10471,USA,,10/12/1990,
AOC,,CID0170,278,Customer Name 170,Street Address 170,Line2,Line3,The City,STATE,10471,USA,,10/13/1990,
AOC,,CID0171,279,Customer Name 171,Street Address 171,Line2,Line3,The City,STATE,10471,USA,,10/14/1990,
AOC,,CID0172,280,Customer Name 172,Street Address 172,Line2,Line3,The City,STATE,10471,USA,,10/15/1990,
AOC,,CID0173,281,Customer Name 173,Street Address 173,Line2,Line3,The City,STATE,10471,USA,,10/16/1990,
AOC,,CID0174,282,Customer Name 174,Street Address 174,Line2,Line3,The City,STATE,10471,USA,,10/17/1990,
AOC,,CID0175,283,Customer Name 175,Street Address 175,Line2,Line3,The City,STATE,10471,USA,,10/18/1990,
AOC,,CID0176,284,Customer Name 176,Street Address 176,Line2,Line3,The City,STATE,10471,USA,,10/19/1990,
AOC,,CID0177,285,Customer Name 177,Street Address 177,Line2,Line3,The City,STATE,10471,USA,,10/20/1990,
AOC,,CID0178,286,Customer Name 178,Street Address 178,Line2,Line3,The City,STATE,10471,USA,,10/21/1990,
AOC,,CID0179,287,Customer Name 179,Street Address 179,Line2,Line3,The City,STATE,10471,USA,,10/22/1990,
AOC,,CID0180,288,Customer Name 180,Street Address 180,Line2,Line3,The City,STATE,10471,USA,,10/23/1990,
AOC,,CID0181,289,Customer Name 181,Street Address 181,Line2,Line3,The City,STATE,10471,USA,,10/24/1990,
AOC,,CID0182,290,Customer Name 182,Street Address 182,Line2,Line3,The City,STATE,10471,USA,,10/25/1990,
AOC,,CID0183,291,Customer Name 183,Street Address 183,Line2,Line3,The City,STATE,10471,USA,,10/26/1990,
AOC,,CID0184,293,Customer Name 184,Street Address 184,Line2,Line3,The City,STATE,10471,USA,,10/27/1990,
AOC,,CID0185,294,Customer Name 185,Street Address 185,Line2,Line3,The City,STATE,10471,USA,,10/28/1990,
AOC,,CID0186,295,Customer Name 186,Street Address 186,Line2,Line3,The City,STATE,10471,USA,,10/29/1990,
AOC,,CID0187,296,Customer Name 187,Street Address 187,Line2,Line3,The City,STATE,10471,USA,,10/30/1990,
AOC,,CID0188,297,Customer Name 188,Street Address 188,Line2,Line3,The City,STATE,10471,USA,,10/31/1990,
AOC,,CID0189,298,Customer Name 189,Street Address 189,Line2,Line3,The City,STATE,10471,USA,,11/1/1990,
AOC,,CID0190,299,Customer Name 190,Street Address 190,Line2,Line3,The City,STATE,10471,USA,,11/2/1990,
AOC,,CID0191,300,Customer Name 191,Street Address 191,Line2,Line3,The City,STATE,10471,USA,,11/3/1990,
OEM,,CID0192,301,Customer Name 192,Street Address 192,Line2,Line3,The City,STATE,10471,USA,,11/4/1990,
AOC,,CID0193,302,Customer Name 193,Street Address 193,Line2,Line3,The City,STATE,10471,USA,,11/5/1990,
AOC,,CID0194,303,Customer Name 194,Street Address 194,Line2,Line3,The City,STATE,10471,USA,,11/6/1990,
AOC,,CID0195,304,Customer Name 195,Street Address 195,Line2,Line3,The City,STATE,10471,USA,,11/7/1990,
AOC,,CID0196,305,Customer Name 196,Street Address 196,Line2,Line3,The City,STATE,10471,USA,,11/8/1990,
AOC,,CID0197,306,Customer Name 197,Street Address 197,Line2,Line3,The City,STATE,10471,USA,,11/9/1990,
AOC,,CID0198,307,Customer Name 198,Street Address 198,Line2,Line3,The City,STATE,10471,USA,,11/10/1990,
AOC,,CID0199,308,Customer Name 199,Street Address 199,Line2,Line3,The City,STATE,10471,USA,,11/11/1990,
AOC,,CID0200,309,Customer Name 200,Street Address 200,Line2,Line3,The City,STATE,10471,USA,,11/12/1990,
AOC,,CID0201,310,Customer Name 201,Street Address 201,Line2,Line3,The City,STATE,10471,USA,,11/13/1990,
AOC,,CID0202,311,Customer Name 202,Street Address 202,Line2,Line3,The City,STATE,10471,USA,,11/14/1990,
AOC,,CID0203,312,Customer Name 203,Street Address 203,Line2,Line3,The City,STATE,10471,USA,,11/15/1990,
AOC,,CID0204,313,Customer Name 204,Street Address 204,Line2,Line3,The City,STATE,10471,USA,,11/16/1990,
AOC,,CID0205,314,Customer Name 205,Street Address 205,Line2,Line3,The City,STATE,10471,USA,,11/17/1990,
AOC,,CID0206,315,Customer Name 206,Street Address 206,Line2,Line3,The City,STATE,10471,USA,,11/18/1990,
AOC,,CID0207,317,Customer Name 207,Street Address 207,Line2,Line3,The City,STATE,10471,USA,,11/19/1990,
AOC,,CID0208,318,Customer Name 208,Street Address 208,Line2,Line3,The City,STATE,10471,USA,,11/20/1990,
DLR,,CID0209,320,Customer Name 209,Street Address 209,Line2,Line3,The City,STATE,10471,USA,,11/21/1990,
DLR,,CID0210,322,Customer Name 210,Street Address 210,Line2,Line3,The City,STATE,10471,USA,,11/22/1990,
DLR,,CID0211,323,Customer Name 211,Street Address 211,Line2,Line3,The City,STATE,10471,USA,,11/23/1990,
OEM,,CID0212,326,Customer Name 212,Street Address 212,Line2,Line3,The City,STATE,10471,USA,,11/24/1990,
IND,,CID0213,329,Customer Name 213,Street Address 213,Line2,Line3,The City,STATE,10471,USA,,11/25/1990,
DLR,,CID0214,330,Customer Name 214,Street Address 214,Line2,Line3,The City,STATE,10471,USA,,11/26/1990,
DLR,,CID0215,332,Customer Name 215,Street Address 215,Line2,Line3,The City,STATE,10471,CANADA,,11/27/1990,
DLR,,CID0216,336,Customer Name 216,Street Address 216,Line2,Line3,The City,STATE,10471,USA,,11/28/1990,
DLR,,CID0217,343,Customer Name 217,Street Address 217,Line2,Line3,The City,STATE,10471,USA,,11/29/1990,
DLR,,CID0218,349,Customer Name 218,Street Address 218,Line2,Line3,The City,STATE,10471,USA,,11/30/1990,
DLR,,CID0219,351,Customer Name 219,Street Address 219,Line2,Line3,The City,STATE,10471,USA,,12/1/1990,
DLR,,CID0220,358,Customer Name 220,Street Address 220,Line2,Line3,The City,STATE,10471,USA,,12/2/1990,
DLR,,CID0221,366,Customer Name 221,Street Address 221,Line2,Line3,The City,STATE,10471,USA,,12/3/1990,
DLR,,CID0222,373,Customer Name 222,Street Address 222,Line2,Line3,The City,STATE,10471,USA,,12/4/1990,
DLR,,CID0223,374,Customer Name 223,Street Address 223,Line2,Line3,The City,STATE,10471,USA,,12/5/1990,
DLR,,CID0224,375,Customer Name 224,Street Address 224,Line2,Line3,The City,STATE,10471,USA,,12/6/1990,
DLR,,CID0225,378,Customer Name 225,Street Address 225,Line2,Line3,The City,STATE,10471,USA,,12/7/1990,
IND,,CID0226,384,Customer Name 226,Street Address 226,Line2,Line3,The City,STATE,10471,USA,,12/8/1990,
OEM,,CID0227,388,Customer Name 227,Street Address 227,Line2,Line3,The City,STATE,10471,USA,,12/9/1990,
DLR,,CID0228,390,Customer Name 228,Street Address 228,Line2,Line3,The City,STATE,10471,CANADA,,12/10/1990,
IND,,CID0229,400,Customer Name 229,Street Address 229,Line2,Line3,The City,STATE,10471,USA,,12/11/1990,
IND,,CID0230,404,Customer Name 230,Street Address 230,Line2,Line3,The City,STATE,10471,USA,,12/12/1990,
DLR,,CID0231,422,Customer Name 231,Street Address 231,Line2,Line3,The City,STATE,10471,USA,,12/13/1990,
IND,,CID0232,426,Customer Name 232,Street Address 232,Line2,Line3,The City,STATE,10471,USA,,12/14/1990,
OEM,,CID0233,432,Customer Name 233,Street Address 233,Line2,Line3,The City,STATE,10471,USA,,12/15/1990,
IND,,CID0234,436,Customer Name 234,Street Address 234,Line2,Line3,The City,STATE,10471,USA,,12/16/1990,
DLR,,CID0235,437,Customer Name 235,Street Address 235,Line2,Line3,The City,STATE,10471,USA,,12/17/1990,
DLR,,CID0236,441,Customer Name 236,Street Address 236,Line2,Line3,The City,STATE,10471,USA,,12/18/1990,
DLR,,CID0237,452,Customer Name 237,Street Address 237,Line2,Line3,The City,STATE,10471,USA,,12/19/1990,
DLR,,CID0238,453,Customer Name 238,Street Address 238,Line2,Line3,The City,STATE,10471,USA,,12/20/1990,
DLR,,CID0239,455,Customer Name 239,Street Address 239,Line2,Line3,The City,STATE,10471,USA,,12/21/1990,
DLR,,CID0240,457,Customer Name 240,Street Address 240,Line2,Line3,The City,STATE,10471,USA,,12/22/1990,
DLR,,CID0241,458,Customer Name 241,Street Address 241,Line2,Line3,The City,STATE,10471,USA,,12/23/1990,
